stage	n_total	n_stage_specific	specific_pct	n_in_core5
NC	1888741	1378566	72.99	36851
SCS	1798519	1357002	75.45	36851
SCD	1927898	1419270	73.62	36851
MCI	1483763	1033801	69.67	36851
AD	2010251	1529329	76.08	36851
