# started 2026-09-23 17:03:24 cmd=bash code/job.sh stall_min=25 max_h=6.0
# started 2026-09-23 17:37:28 cmd=bash code/job.sh stall_min=25 max_h=6.0
2026-09-23 17:37:58	elapsed=0.5min	log=507B	log_age=0.5min	cpu=86%	procs=6	stalled_polls=0	last: [2026-09-23 17:37:28] [A] 压缩比曲线: 每 64 条取 1 条 (约 197900 条)
2026-09-23 17:38:28	elapsed=1.0min	log=574B	log_age=0.0min	cpu=0%	procs=7	stalled_polls=0	last: [2026-09-23 17:38:27]     id=0.99 -> 197894 家族 / 197901 序列
2026-09-23 17:38:58	elapsed=1.5min	log=574B	log_age=0.5min	cpu=335%	procs=6	stalled_polls=1	last: [2026-09-23 17:38:27]     id=0.99 -> 197894 家族 / 197901 序列
2026-09-23 17:39:28	elapsed=2.0min	log=640B	log_age=0.3min	cpu=0%	procs=6	stalled_polls=0	last: [2026-09-23 17:39:11]     id=0.9 -> 197849 家族 / 197901 序列
2026-09-23 17:39:58	elapsed=2.5min	log=706B	log_age=0.1min	cpu=0%	procs=7	stalled_polls=0	last: [2026-09-23 17:39:55]     id=0.8 -> 197751 家族 / 197901 序列
2026-09-23 17:40:28	elapsed=3.0min	log=706B	log_age=0.6min	cpu=376%	procs=6	stalled_polls=1	last: [2026-09-23 17:39:55]     id=0.8 -> 197751 家族 / 197901 序列
2026-09-23 17:40:58	elapsed=3.5min	log=772B	log_age=0.3min	cpu=0%	procs=6	stalled_polls=0	last: [2026-09-23 17:40:39]     id=0.7 -> 197667 家族 / 197901 序列
2026-09-23 17:41:28	elapsed=4.0min	log=893B	log_age=0.0min	cpu=0%	procs=7	stalled_polls=0	last: [2026-09-23 17:41:25] [B] 最近邻同一性分析 ...
2026-09-23 17:41:58	elapsed=4.5min	log=893B	log_age=0.5min	cpu=180%	procs=7	stalled_polls=1	last: [2026-09-23 17:41:25] [B] 最近邻同一性分析 ...
2026-09-23 17:42:28	elapsed=5.0min	log=893B	log_age=1.0min	cpu=120%	procs=7	stalled_polls=2	last: [2026-09-23 17:41:25] [B] 最近邻同一性分析 ...
2026-09-23 17:42:58	elapsed=5.5min	log=893B	log_age=1.6min	cpu=0%	procs=6	stalled_polls=3	last: [2026-09-23 17:41:25] [B] 最近邻同一性分析 ...
2026-09-23 17:43:28	elapsed=6.0min	log=893B	log_age=2.1min	cpu=110%	procs=6	stalled_polls=4	last: [2026-09-23 17:41:25] [B] 最近邻同一性分析 ...
2026-09-23 17:43:58	elapsed=6.5min	log=893B	log_age=2.6min	cpu=125%	procs=6	stalled_polls=5	last: [2026-09-23 17:41:25] [B] 最近邻同一性分析 ...
2026-09-23 17:44:28	elapsed=7.0min	log=893B	log_age=3.1min	cpu=104%	procs=6	stalled_polls=6	last: [2026-09-23 17:41:25] [B] 最近邻同一性分析 ...
2026-09-23 17:44:58	elapsed=7.5min	log=893B	log_age=3.6min	cpu=0%	procs=4	stalled_polls=7	last: [2026-09-23 17:41:25] [B] 最近邻同一性分析 ...
2026-09-23 17:45:28	elapsed=8.0min	log=1029B	log_age=0.2min	cpu=0%	procs=6	stalled_polls=0	last: [2026-09-23 17:45:15]     both 采样 13007
2026-09-23 17:45:58	elapsed=8.5min	log=1639B	log_age=0.2min	cpu=1%	procs=8	stalled_polls=0	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:46:28	elapsed=9.0min	log=1639B	log_age=0.7min	cpu=585%	procs=8	stalled_polls=1	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:46:58	elapsed=9.5min	log=1639B	log_age=1.2min	cpu=556%	procs=8	stalled_polls=2	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:47:29	elapsed=10.0min	log=1639B	log_age=1.7min	cpu=0%	procs=8	stalled_polls=3	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:47:59	elapsed=10.5min	log=1639B	log_age=2.2min	cpu=519%	procs=8	stalled_polls=4	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:48:29	elapsed=11.0min	log=1639B	log_age=2.7min	cpu=0%	procs=8	stalled_polls=5	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:48:59	elapsed=11.5min	log=1639B	log_age=3.2min	cpu=571%	procs=8	stalled_polls=6	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:49:29	elapsed=12.0min	log=1639B	log_age=3.7min	cpu=0%	procs=8	stalled_polls=7	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:49:59	elapsed=12.5min	log=1639B	log_age=4.2min	cpu=0%	procs=8	stalled_polls=8	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:50:29	elapsed=13.0min	log=1639B	log_age=4.7min	cpu=326%	procs=7	stalled_polls=9	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:50:59	elapsed=13.5min	log=1639B	log_age=5.2min	cpu=583%	procs=7	stalled_polls=10	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:51:29	elapsed=14.0min	log=1639B	log_age=5.7min	cpu=561%	procs=7	stalled_polls=11	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:51:59	elapsed=14.5min	log=1639B	log_age=6.2min	cpu=0%	procs=7	stalled_polls=12	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
2026-09-23 17:52:29	elapsed=15.0min	log=1639B	log_age=6.7min	cpu=589%	procs=7	stalled_polls=13	last: [2026-09-23 17:45:48]   聚类 12665622 条 ...
